AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
@DunOT,0.0,1.0,0.0,0.0
@Dupla914,0.25,0.75,0.0,0.0
@DynamicAngling,1.0,0.0,0.0,0.0
@DynoGames101,0.8,0.2,0.0,0.0
@EDMProd,0.2,0.4,0.0,0.4
@EDWINDIAZTO,0.0,0.0,0.5,0.5
@EEVblog,0.0,0.0,0.0,1.0
@ELHAITIANOCOMPALE,0.0,0.9444444444444444,0.0,0.05555555555555555
@ELLE_HongKong,0.35,0.65,0.0,0.0
@ELMAHDAOUYHamid,0.8,0.15,0.05,0.0
@ELMETODOTECH,0.1111111111111111,0.6666666666666666,0.0,0.2222222222222222
@ELRAYMAKERSOLDADURA,1.0,0.0,0.0,0.0
@ENR88ApparelsVlog,0.1,0.4,0.5,0.0
@ERREPM,0.3333333333333333,0.6111111111111112,0.0,0.05555555555555555
@ESLAsia,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
@ETCOFICIAL,0.0,0.8666666666666667,0.13333333333333333,0.0
@ETVJabardasth,0.0,0.95,0.0,0.05
@EconomicsExplained,0.55,0.15,0.0,0.3
@EcuadorHolcim,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714
@Editorial.EmmysFamily,0.3,0.4,0.15,0.15
@EdoardoMazzuoli,0.25,0.55,0.0,0.2
@EduFighter,0.7333333333333333,0.26666666666666666,0.0,0.0
@ElDefensordelaVerdad,0.0,0.85,0.0,0.15
@ElEspectador,0.7,0.2,0.1,0.0
@ElFinDeLosTiempos,1.0,0.0,0.0,0.0
@ElGuardiandelaTierra,0.3888888888888889,0.6111111111111112,0.0,0.0
@ElPatronRD,0.0,0.42857142857142855,0.0,0.5714285714285714
@ElProfeGarcia,0.25,0.45,0.2,0.1
@ElReyMiguelCastillo,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
@ElRoxet,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.0
@ElVallo,0.0,1.0,0.0,0.0
@Elanip,0.0,1.0,0.0,0.0
@ElectronicaparaMusicos,0.0,1.0,0.0,0.0
@ElginAnimations,0.1,0.9,0.0,0.0
@Elhuertofamiliar,0.75,0.25,0.0,0.0
@ElincreiblemundodelVine,0.75,0.125,0.0625,0.0625
@ElisaBarbosaBlogs,0.15,0.75,0.0,0.1
@EllenandTara,0.2,0.8,0.0,0.0
@EmaanTVPakistan,0.0,1.0,0.0,0.0
@EmpireFamily,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.0
@EmployeesTv,0.25,0.625,0.0,0.125
@EnLaMiraCR,0.0,1.0,0.0,0.0
@EnergySchweiz,0.2,0.65,0.15,0.0
@EnglishLanguageAcademy.,0.0,0.5,0.0,0.5
@EnglishWithSamir,0.0,0.6,0.0,0.4
@Englishwithexperts,0.0,0.65,0.0,0.35
@EnjoyPhoenix,0.125,0.8125,0.0625,0.0
@EntrenaSergioPeinado,0.05,0.6,0.1,0.25
@EnzoDiPalma,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
@EpicFlyingHorse,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
@EpsilonGamex,0.0,0.5,0.5,0.0
@ErickBerriosOficial,0.45,0.35,0.15,0.05
@ErosNowMoviesPreview,0.2,0.65,0.15,0.0
@Estelamaca,0.2,0.2,0.2,0.4
@EstilistasporelMundo,0.1,0.9,0.0,0.0
@EstilocraciaOficial,0.0,1.0,0.0,0.0
@EstrellasdelRingTV,0.85,0.05,0.1,0.0
@EstudioKatastrofico,0.23076923076923078,0.7692307692307693,0.0,0.0
@EtiFrankSkincare,0.1,0.4,0.15,0.35
@EtienneLGF,0.2,0.6,0.2,0.0
@EvangHolyIrowa,0.8,0.1,0.0,0.1
@EverythingHP,0.0,0.7272727272727273,0.09090909090909091,0.18181818181818182
@ExcellentIslam,0.18181818181818182,0.8181818181818182,0.0,0.0
@ExitoFinancieroOficial,0.0,1.0,0.0,0.0
@ExpandaX,0.0,0.85,0.1,0.05
@ExpressZeitungYT,0.0,0.0,0.5,0.5
@Extraordinerd,0.0,0.8,0.0,0.2
@ExtremeLaunchLover,0.65,0.15,0.2,0.0
@EzzyAlgabre,0.2,0.45,0.15,0.2
@FD368,1.0,0.0,0.0,0.0
@FEJOSBABATV,0.1,0.55,0.05,0.3
@FLYEREBikes,0.5,0.3333333333333333,0.16666666666666666,0.0
@FORTETKEYS,1.0,0.0,0.0,0.0
@FOSSASIAorg,1.0,0.0,0.0,0.0
@FUN4U001,0.6666666666666666,0.3333333333333333,0.0,0.0
@FabihahSiddique,0.0,1.0,0.0,0.0
@FailRace,0.3333333333333333,0.6666666666666666,0.0,0.0
@FamilyFizz,0.4,0.35,0.1,0.15
@FannyMartinez05,0.3,0.65,0.05,0.0
@FantasticaMenteIng,0.35,0.55,0.1,0.0
